date,turkey_total_generation_in_gwh,population,imports_in_gwh,exports_in_gwh,gross_demand_in_gwh,natural_gas_price_usd_Mmbtu,pib_m_dollar,ratio_dollar_tl,coal_elect_prod_gwh,ng_elect_prod_gwh,thermique_elect_prod_gwh,hidro_elect_prod_gwh,geothermal_elect_prod_gwh,wind_elect_prod_gwh,solar_elect_prod_gwh,geothermal_solar_wind_elect_prod_gwh
01.01.2002,11704.1,,300.8,40.9,11964,2138,5.331.720.167,1.307,,,,,,0,0,
01.02.2002,9613.9,,370.4,33.3,9951,2357,4.990.016.655,1.3965,,,,,,0,0,
01.03.2002,10882.3,,371.2,38.6,11214.9,3283,5.171.471.806,1.3475,,,,,,0,0,
01.04.2002,10307.2,,337.7,38.8,10606.1,3795,6.278.757.123,1.341,,,,,,0,0,
01.05.2002,10136.6,,287.4,38,10386,3217,5.849.123.516,1.4395,,,,,,0,0,
01.06.2002,10216.9,,248.2,30,10435.1,3245,5.320.577.126,1.5825,,,,,,0,0,
01.07.2002,11500.2,,261.4,33.1,11728.5,2954,6.058.823.405,1.69,,,,,,0,0,
01.08.2002,11386.7,,291.8,31.7,11646.8,3296,628.184.758,1.63,,,,,,0,0,
01.09.2002,10255.4,,282.7,32.6,10505.5,4138,6.186.955.622,1.655,,,,,,0,0,
1.10.2002,10517.6,,287.6,35,10770.2,4156,6.310.782.139,1.677,,,,,,0,0,
1.11.2002,10991.7,,271.4,40.8,11222.3,4200,6.878.896.098,1.5385,,,,,,0,0,
1.12.2002,11886.9,,277.6,42.3,12122.2,4789,6.375.410.631,1.66,,,,,,0,0,
01.01.2003,12111.6,,314.7,40.2,12386.1,5605,5.888.557.359,1.65,,,,,,0,0,
01.02.2003,10662.5,,233.5,36.8,10859.2,8101,6.083.982.244,1.597,,,,,,0,0,
01.03.2003,12053.3,,379.7,41.6,12391.4,5060,5.663.724.653,1.7155,,,,,,0,0,
01.04.2003,10872.6,,206.6,33.8,11045.4,5385,7.173.175.039,1.5657,,,,,,0,0,
01.05.2003,10949.1,,0.0,31.5,10917.6,6251,78.593.703,1.429,,,,,,0,0,
01.06.2003,11112,,0.0,26.9,11085.1,5411,790.918.321,1.42,,,,,,0,0,
01.07.2003,12443.9,,0.0,28.5,12415.4,4718,9.207.974.294,1.4234,,,,,,0,0,
01.08.2003,12589.2,,0.0,27.9,12561.3,4731,9.349.857.761,1.4018,,,,,,0,0,
01.09.2003,11460.7,,0.0,46.4,11414.3,4830,9.430.587.574,1.3898,,,,,,0,0,
1.10.2003,11659.6,,0.0,80.7,11578.9,4893,8.867.816.707,1.4844,,,,,,0,0,
1.11.2003,11541.3,,0.0,101.9,11439.4,4925,8.994.456.522,1.4635,,,,,,0,0,
1.12.2003,13124.7,,23.5,91.4,13056.8,6189,9.384.990.104,1.4026,,,,,,0,0,
01.01.2004,12999.6,,42.3,100.3,12941.6,5397,8.914.575.579,1.341,,,,,,0,0,
01.02.2004,11560,,36.2,88.3,11507.9,5416,900.862.536,1.327,,,,,,0,0,
01.03.2004,12598.8,,37.1,96.5,12539.4,5933,9.101.214.962,1.3135,,,,,,0,0,
01.04.2004,11842.5,,32.6,92.8,11782.3,5862,9.783.753.947,1.4206,,,,,,0,0,
01.05.2004,11885.4,,26.7,89.9,11822.2,6442,9.331.185.537,1.4895,,,,,,0,0,
01.06.2004,11982.8,,27.6,84.6,11925.8,6155,9.356.311.583,1.4855,,,,,,0,0,
01.07.2004,13286.2,,45.7,89.1,13242.8,6112,1.099.284.308,1.468,,,,,,0,0,
01.08.2004,13353.2,,47.7,96.3,13304.6,5074,1.074.400.375,1.502,,,,,,0,0,
01.09.2004,12561.1,,47,83,12525.1,6795,1.072.971.651,1.504,,,,,,0,0,
1.10.2004,12378.4,,33.2,85.4,12326.2,8725,1.107.342.136,1.4715,,,,,,0,0,
1.11.2004,12211.6,,41.5,102.8,12150.3,7620,1.138.284.285,1.4315,,,,,,0,0,
1.12.2004,14038.7,,45.9,135.3,13949.3,6149,1.208.345.535,1.3485,,,,,,0,0,
01.01.2005,13300.3,,50,137.9,13212.4,6321,1.067.677.573,1.3355,,,,,,0,0,
01.02.2005,12609.9,,44.6,130.6,12523.9,6730,111.136.664,1.283,,,,,,0,0,
01.03.2005,13574.2,,45.2,153.7,13465.7,7653,1.054.257.596,1.3525,,,,,,0,0,
01.04.2005,12635.8,,38.7,140.6,12533.9,6585,1.175.069.265,1.3915,,,,,,0,0,
01.05.2005,12861.5,,41.3,142.9,12759.9,6379,119.832.091,1.3645,,,,,,0,0,
01.06.2005,12720.4,,37.4,154.9,12602.9,6981,1.228.943.166,1.3305,,,,,,0,0,
01.07.2005,14313.7,,88.9,148.2,14254.4,7885,1.407.785.603,1.3259,,,,,,0,0,
01.08.2005,14757.3,,94.9,158.2,14694,11472,1.387.794.001,1.345,,,,,,0,0,
01.09.2005,13378.2,,52.6,147.4,13283.4,13921,1.386.248,1.3465,,,,,,0,0,
1.10.2005,13503.4,,43.8,140.2,13407,12205,138.748.299,1.3515,,,,,,0,0,
1.11.2005,13422.1,,48.1,148.1,13322.1,12587,1.382.368.788,1.3565,,,,,,0,0,
1.12.2005,14879.4,,50.4,195.4,14734.4,11225,1.388.510.375,1.3505,,,,,,0,0,
01.01.2006,14332.5,,50,210.4,14172.1,9316,1.228.885.998,1.3228,,,,,,0,0,
01.02.2006,13683,,42.7,185.4,13540.3,6714,1.237.115.981,1.314,,,,,,0,0,
01.03.2006,14616.8,,45.8,191.2,14471.4,7210,1.209.051.989,1.3445,,,,,,0,0,
01.04.2006,13397.6,,47.2,167.3,13277.5,6555,1.472.107.738,1.3225,,,,,,0,0,
01.05.2006,13996.9,,43.5,164.7,13875.7,6384,1.237.281.527,1.5735,,,,,,0,0,
01.06.2006,14473.8,,32.7,170.4,14336.1,6104,1.230.244.855,1.5825,,,,,,0,0,
01.07.2006,15588,,34.9,170.1,15452.8,8211,1.460.327.677,1.4976,,,,,,0,0,
01.08.2006,16389.5,,45.4,167.7,16267.2,6048,1.493.129.466,1.4647,,,,,,0,0,
01.09.2006,14491.3,,67.7,163.9,14395.1,5620,1.444.032.175,1.5145,,,,,,0,0,
1.10.2006,13843.2,,47.7,155.6,13735.3,7534,1.508.476.172,1.4572,,,,,,0,0,
1.11.2006,15236.2,,54,222.3,15067.9,8844,1.512.108.054,1.4537,,,,,,0,0,
1.12.2006,16251,,61.6,266.7,16045.9,6299,1.552.915.209,1.4155,,,,,,0,0,
01.01.2007,15873.9,,63.519.131,25.174.021,1.568.567.892,7667,1.359.295.785,1.4065,,,,,,0,0,
01.02.2007,14669.6,,5.613.999,17.778.573,1.454.795.426,7300,1.353.042.832,1.413,,,,,,0,0,
01.03.2007,15801,,59.601.827,23.795.334,1.562.264.849,7730,1.373.455.116,1.392,,,,,,0,0,
01.04.2007,14929.3,,61.152.624,2.046.255,1.478.582.712,7863,1.570.796.187,1.3645,,,,,,0,0,
01.05.2007,15245.8,,107.083.912,24.035.081,151.125.331,7935,162.683.218,1.3175,,,,,,0,0,
01.06.2007,15741.2,,69.862.655,25.064.485,1.556.041.781,6773,1.633.029.636,1.3125,,,,,,0,0,
01.07.2007,17585,,99.700.366,19.313.831,1.749.156.206,6191,1.862.604.104,1.2843,,,,,,0,0,
01.08.2007,17791.1,,102.586.549,31.418.559,1.757.950.096,5468,1.839.685.035,1.3003,,,,,,0,0,
01.09.2007,15802.6,,60.654.596,22.696.786,1.563.628.674,6870,1.981.726.825,1.2071,,,,,,0,0,
1.10.2007,15142.7,,56.848.827,128.393,1.507.115.583,8330,2.085.844.938,1.1649,,,,,,0,0,
1.11.2007,16163.9,,57.356.226,1.178.437,1.610.341.253,7302,2.053.063.598,1.1835,,,,,,0,0,
1.12.2007,16812,,69.823.314,785.875,1.680.323.581,7483,208.084.334,1.1677,,,,,,0,0,
01.01.2008,17888.5,,65,5.2,17948.3,8074,1.876.526.006,1.1715,4.992.402,7.943.091,14.004.764,3.828.889,54.851,0,0,54.851
01.02.2008,16523.8,,66,85.7,16504.1,9366,1.801.188.215,1.2205,4.668.627,8.417.088,13.703.927,2.761.277,58.566,0,0,58.566
01.03.2008,16371.1,,45.3,171.9,16244.5,10101,1.647.074.411,1.3347,4.461.552,8.282.924,13.192.935,3102.15,76.046,0,0,76.046
01.04.2008,15708.2,,68.4,124.3,15652.3,10843,197.325.143,1.2747,3.914.773,7706.82,12.160.617,3.480.137,67.426,0,0,67.426
01.05.2008,16239.1,,124.9,80,16284,11703,206.358.487,1.2189,4.516.781,7937.6,13049.32,3.135.725,54.093,0,0,54.093
01.06.2008,16558.6,,47,78.5,16527.1,13353,2.055.490.397,1.2237,5.222.086,7.762.785,13.579.675,2.908.087,70.846,0,0,70.846
01.07.2008,18304.4,,81.3,77.2,18308.5,9119,2.330.739.933,1.1616,5.242.182,8.757.743,14.688.966,3.517.825,97.607,0,0,97.607
01.08.2008,18442.5,,33.7,84.4,18391.8,7943,2.285.679.617,1.1845,5.424.813,8.915.981,15.016.723,3.300.981,124.822,0,0,124.822
01.09.2008,16070.8,,66.7,92.4,16045.1,7438,2.120.945.951,1.2765,4.834.407,8.577.803,14.021.009,1.964.964,84.86,0,0,84.86
1.10.2008,14974.6,,66.5,124.1,14917,6783,1.690.133.344,1.5422,4.779.798,8.033.115,13.405.154,1.456.019,113.432,0,0,113.432
1.11.2008,15475.74,,66.1,95.8,15446.04,6510,1.665.297.497,1.5652,4.667.853,8.153.582,13.508.969,1.872.631,94.115,0,0,94.115
1.12.2008,15860.64,,58.5,102.7,15816.44,5622,169.199.847,1.5405,4.990.308,8.196.795,13.807.234,1.941.116,112.27,0,0,112.27
01.01.2009,16.891.584,,64.92,105.088,16.851.416,4417,1.295.427.516,1.6433,5.273.396,7.946.692,14.294.127,2.471.485,15.398,110.574,0,125.972
01.02.2009,15049.78,,56.278,96.029,15.010.029,4198,1.252.147.542,1.7001,4.477.098,7.873.381,12.978.549,1937.77,13.257,120.206,0,133.463
01.03.2009,16.027.139,,60.24,103.668,15.983.711,3776,1.280.852.008,1.662,4.459.487,8.130.495,13.213.532,2715.1,16.009,82.496,0,98.505
01.04.2009,14.890.348,,60.223,101.468,14.849.103,3373,1.520.078.631,1.5983,3.933.504,7.029.344,11.426.503,3.358.806,25.446,79.601,0,105.047
01.05.2009,15.352.341,,50.559,105.185,15.297.715,3835,1.582.144.879,1.5356,4.236.412,6.854.446,11.446.756,3.786.473,34.887,84.225,0,119.112
01.06.2009,15.948.036,,58.379,106.799,15.899.616,3835,1.576.089.313,1.5415,4.490.177,7810.65,12.620.152,3.202.802,43.429,81.644,0,125.073
01.07.2009,17.751.783,,89.741,98.016,17.743.508,3653,1.860.512.275,1.4711,5.157.788,8.504.357,14.045.071,3.529.733,44.102,132.867,0,176.969
01.08.2009,17.815.311,,93.937,204.692,17.704.556,2977,1.824.179.957,1.5004,5.252.045,8.732.525,14.267.979,3.315.097,43.963,188.27,0,232.233
01.09.2009,15.500.818,,52.898,174.415,15.379.301,4841,1.844.463.648,1.4839,4.195.841,8.105.069,12.556.968,2.762.544,47.722,133.584,0,181.306
1.10.2009,16.053.931,,36.88,100.907,15.989.904,5045,1.837.763.872,1.5064,4.794.031,8.144.674,13.180.777,2.688.705,50.15,134.298,0,184.448
1.11.2009,15.811.708,,91.702,124.119,15.779.291,4848,1.811.547.897,1.5282,4386.58,7.996.223,12.639.826,2.997.655,49.506,124.721,0,174.227
1.12.2009,17.720.159,,96.194,225.443,17590.91,5572,184.535.895,1.5002,5.028.722,8.966.833,14.253.206,3.192.198,51.869,222.884,0,274.753
01.01.2010,17.501.731,,97.613,177.636,17.421.708,5131,1.615.941.065,1.497,4555.62,8238.9,13012.36,4199,51.88,238.5,0,290.38
01.02.2010,15837.69,,95.074,187.748,15.745.016,4813,1.564.016.147,1.5467,4093.4,6964.4,11235.34,4352.8,46.14,203.43,0,249.57
01.03.2010,17.119.705,,81.059,121.93,17.078.834,3869,1.592.327.392,1.5192,3998.3,7306.6,11518.81,5368.4,46.83,185.7,0,232.53
01.04.2010,16.362.722,,58.631,107.617,16.313.736,3920,1.883.353.293,1.4897,3218.6,7071.7,10.508.529,5596.7,57.2,200.3,0,257.5
01.05.2010,16.812.895,,58.406,159.639,16.711.662,4341,1.782.371.769,1.5741,3871.08,7372.34,11458.52,5167,55.93,131.4,0,187.33
01.06.2010,17311.9,,46.577,215.404,17.143.073,4616,1.767.995.085,1.5869,5050.6,7465.85,12723.9,4366.5,56.8,164.73,0,221.53
01.07.2010,19.567.597,,91.577,231.223,19.427.951,4923,212.718.037,1.5078,5434.8,8963.1,14626.4,4582.14,54.74,304.3,0,359.04
01.08.2010,20.620.807,,78.72,246.395,20.453.132,3816,2.100.846.637,1.5267,5757.6,9507.7,15569.02,4709.72,54.4,287.63,0,342.03
01.09.2010,17.139.645,,92.337,137.98,17.094.002,3872,2.214.723.492,1.4482,4621.15,8714.8,13544.33,3255.7,56.35,283.24,0,339.59
1.10.2010,17291,,132.172,105.077,17.318.095,4038,2.264.191.944,1.433,4446.94,9055.84,13705.65,3233.14,62.54,289.63,0,352.17
1.11.2010,16464.48,,142.677,112.301,16.494.856,4180,2.156.015.054,1.5049,4725.8,7824.5,12747.68,3394.13,60.88,261.84,0,322.72
1.12.2010,19.177.547,,168.982,114.634,19.231.895,4405,2.104.278.523,1.5419,5272.5,9658.01,15177.03,3570.23,64.55,365.73,0,430.28
01.01.2011,19.603.106,,163.234,41.967,19.724.373,4420,182.518.675,1.6045,6014.78,9906.6,16099.08,3164.7,65.1,274.25,0,339.35
01.02.2011,17.649.922,,361.324,220.941,17.790.305,4037,183.192.302,1.5986,5265.38,8819.35,14209.08,3079.12,57,304.65,0,361.65
01.03.2011,19.157.475,,317.791,197.149,19.278.117,4389,1.894.986.502,1.5454,5541.48,8717.2,14366.53,4412,64.5,314.5,0,379
01.04.2011,17.797.292,,329.763,203.737,17.923.318,4698,2.227.238.583,1.5211,4270.78,7442.1,11806.53,5568.66,58.7,363.4,0,422.1
01.05.2011,17.579.678,,325.92,219.252,17.686.346,4666,2.125.511.392,1.5939,4615.24,6484.9,11186.04,6048.2,53.3,292.2,0,345.5
