"date","turkey_total_generation_in_gwh","imports_in_gwh","exports_in_gwh","gross_demand_in_gwh","natural_gas_price_usd_Mmbtu","pib_m_dollar","ratio_dollar_tl","coal_elect_prod_gwh","ng_elect_prod_gwh","thermique_elect_prod_gwh","hidro_elect_prod_gwh","geothermal_elect_prod_gwh","wind_elect_prod_gwh","solar_elect_prod_gwh","geothermal_solar_wind_elect_prod_gwh","coal_ratio","ng_ratio","thermique_ratio","hidro_ratio","geothermal_ratio","wind_ratio","solar_ratio","geo_wind_solar_ratio"
2002-01-01,11704.1,300.8,40.9,11964,2138,53.31720167,1.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-02-01,9613.9,370.4,33.3,9951,2357,49.90016655,1.3965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-03-01,10882.3,371.2,38.6,11214.9,3283,51.71471806,1.3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-04-01,10307.2,337.7,38.8,10606.1,3795,62.78757123,1.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-05-01,10136.6,287.4,38,10386,3217,58.49123516,1.4395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-01,10216.9,248.2,30,10435.1,3245,53.20577126,1.5825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-01,11500.2,261.4,33.1,11728.5,2954,60.58823405,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-01,11386.7,291.8,31.7,11646.8,3296,62.8184758,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-01,10255.4,282.7,32.6,10505.5,4138,61.86955622,1.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-10-01,10517.6,287.6,35,10770.2,4156,63.10782139,1.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-11-01,10991.7,271.4,40.8,11222.3,4200,68.78896098,1.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-12-01,11886.9,277.6,42.3,12122.2,4789,63.75410631,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-01,12111.6,314.7,40.2,12386.1,5605,58.88557359,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-02-01,10662.5,233.5,36.8,10859.2,8101,60.83982244,1.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-03-01,12053.3,379.7,41.6,12391.4,5060,56.63724653,1.7155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-04-01,10872.6,206.6,33.8,11045.4,5385,71.73175039,1.5657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-05-01,10949.1,0,31.5,10917.6,6251,78.593703,1.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-06-01,11112,0,26.9,11085.1,5411,79.0918321,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-07-01,12443.9,0,28.5,12415.4,4718,92.07974294,1.4234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-01,12589.2,0,27.9,12561.3,4731,93.49857761,1.4018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-09-01,11460.7,0,46.4,11414.3,4830,94.30587574,1.3898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-10-01,11659.6,0,80.7,11578.9,4893,88.67816707,1.4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-11-01,11541.3,0,101.9,11439.4,4925,89.94456522,1.4635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-01,13124.7,23.5,91.4,13056.8,6189,93.84990104,1.4026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-01,12999.6,42.3,100.3,12941.6,5397,89.14575579,1.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-01,11560,36.2,88.3,11507.9,5416,90.0862536,1.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-01,12598.8,37.1,96.5,12539.4,5933,91.01214962,1.3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-04-01,11842.5,32.6,92.8,11782.3,5862,97.83753947,1.4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-05-01,11885.4,26.7,89.9,11822.2,6442,93.31185537,1.4895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-06-01,11982.8,27.6,84.6,11925.8,6155,93.56311583,1.4855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-07-01,13286.2,45.7,89.1,13242.8,6112,109.9284308,1.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-08-01,13353.2,47.7,96.3,13304.6,5074,107.4400375,1.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-01,12561.1,47,83,12525.1,6795,107.2971651,1.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-10-01,12378.4,33.2,85.4,12326.2,8725,110.7342136,1.4715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-11-01,12211.6,41.5,102.8,12150.3,7620,113.8284285,1.4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12-01,14038.7,45.9,135.3,13949.3,6149,120.8345535,1.3485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,13300.3,50,137.9,13212.4,6321,106.7677573,1.3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,12609.9,44.6,130.6,12523.9,6730,111.136664,1.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,13574.2,45.2,153.7,13465.7,7653,105.4257596,1.3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,12635.8,38.7,140.6,12533.9,6585,117.5069265,1.3915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05-01,12861.5,41.3,142.9,12759.9,6379,119.832091,1.3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06-01,12720.4,37.4,154.9,12602.9,6981,122.8943166,1.3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,14313.7,88.9,148.2,14254.4,7885,140.7785603,1.3259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-01,14757.3,94.9,158.2,14694,11472,138.7794001,1.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,13378.2,52.6,147.4,13283.4,13921,138.6248,1.3465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,13503.4,43.8,140.2,13407,12205,138.748299,1.3515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-11-01,13422.1,48.1,148.1,13322.1,12587,138.2368788,1.3565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,14879.4,50.4,195.4,14734.4,11225,138.8510375,1.3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,14332.5,50,210.4,14172.1,9316,122.8885998,1.3228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,13683,42.7,185.4,13540.3,6714,123.7115981,1.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,14616.8,45.8,191.2,14471.4,7210,120.9051989,1.3445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,13397.6,47.2,167.3,13277.5,6555,147.2107738,1.3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,13996.9,43.5,164.7,13875.7,6384,123.7281527,1.5735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
